X,Y,Z
1.24,-55.88,-78.39
46.21,-28.25,-75.95
49.78,24.13,-77.58
6.45,53.77,-75.95
-41.76,34.48,-75.95
-49.37,-15.8,-72.69
-13.08,-48.96,-71.06
35.69,-39.17,-74.32
52.82,8.97,-75.13
20.99,49.29,-75.13
-29.15,42.86,-72.69
-48.91,-1.3,-68.62
-27.74,-45.83,-75.13
-27.14,-44.84,-73.5
-44.62,-73.73,4.2
-22.54,-37.24,75.65
21.02,34.73,78.39
46.03,76.05,8.29
28.48,47.05,-70.32
-14.74,-24.36,-81.45
-44.96,-74.29,-20.75
-31.84,-52.61,59.09
8.74,14.44,85.63
42.99,71.04,32.79
37.1,61.3,-51.57
-2.4,-3.96,-87.16
-37.92,-62.65,-41.71
-40.95,-67.67,41.41
-3.72,-6.15,80.96
36.13,59.69,54.08
43.57,71.99,-29.83
9.72,16.05,-80.11
-31.45,-51.97,-62.66
-47.34,-78.22,18.45
-16.98,-28.05,84.11
26.26,43.38,69.8
42.53,70.27,-4.73
21.68,35.83,-74.29
-21.62,-35.72,-78.91
-45.55,-75.26,-7.41
-27.21,-44.96,68.43
16.34,27.0,87.78
43.54,71.94,19.31
31.2,51.55,-58.93
-8.82,-14.57,-82.54
-41.21,-68.09,-30.62
-35.19,-58.14,49.84
2.73,4.52,85.11
39.92,65.95,43.01
39.39,65.09,-40.69
3.55,5.87,-86.0
-35.14,-58.06,-51.64
-42.46,-70.15,29.89
-10.26,-16.95,88.08
31.38,51.84,61.41
46.75,77.24,-19.05
15.67,25.9,-79.73
-26.27,-43.4,-68.55
-46.64,-77.06,5.99
-21.34,-35.26,74.66
20.75,34.29,74.14
44.03,72.75,6.41
27.21,44.95,-69.69
-15.3,-25.29,-79.99
-43.12,-71.25,-18.35
-32.39,-53.52,62.28
9.74,16.1,87.27
43.77,72.33,31.67
37.45,61.88,-54.03
-3.27,-5.4,-89.05
-41.48,-68.53,-43.76
-39.66,-65.53,41.84
-3.42,-5.65,93.04
36.62,60.5,52.83
43.77,72.33,-31.67
9.85,16.28,-88.25
-32.02,-52.91,-61.58
-48.18,-79.6,20.49
-16.74,-27.66,87.49
28.45,47.01,72.89
43.51,71.9,-6.33
22.47,37.14,-80.3
-22.09,-36.5,-77.28
-46.64,-77.06,-5.99
-26.27,-43.4,68.54
16.59,27.41,84.4
42.7,70.55,17.4
31.74,52.45,-62.12
-9.69,-16.01,-83.2
-44.4,-73.37,-31.26
-35.55,-58.74,52.24
3.59,5.94,87.0
40.3,66.6,41.64
39.46,65.21,-42.52
2.8,4.62,-87.11
-37.28,-61.59,-52.8
-42.18,-69.69,31.34
-9.14,-15.09,85.48
31.56,52.16,59.63
44.04,72.78,-19.53
14.76,24.39,-79.31
-27.21,-44.96,-68.43
-43.48,-71.85,7.08
-21.38,-35.33,78.03
21.17,34.98,72.55
45.12,74.54,5.02
26.87,44.39,-71.42
-16.04,-26.5,-79.46
-44.3,-73.19,-17.26
-31.46,-51.97,62.66
10.31,17.03,84.98
41.13,67.96,28.16
